, liquid_yogurt, colacao, ato, cafe, sugar, juice, nescafe, acor_sugar, pascual, gourmet_tea, asturiana, spar_tea, nesquik
liquid_yogurt, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
colacao, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ato, 0, 0, 19, 2, 0, 0, 0, 0, 2, 1, 0, 1, 0
cafe, 0, 0, 0, 21, 0, 0, 3, 0, 0, 1, 0, 0, 0
sugar, 0, 0, 0, 1, 22, 0, 2, 0, 0, 0, 0, 0, 0
juice, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 0, 0
nescafe, 0, 0, 0, 1, 0, 0, 24, 0, 0, 0, 0, 0, 0
acor_sugar, 0, 0, 0, 1, 0, 0, 0, 22, 0, 0, 0, 0, 2
pascual, 0, 0, 3, 0, 0, 0, 0, 0, 18, 0, 4, 0, 0
gourmet_tea, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0
asturiana, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 22, 0, 0
spar_tea, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 21, 0
nesquik, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
