, liquid_yogurt, colacao, ato, cafe, sugar, juice, nescafe, acor_sugar, pascual, gourmet_tea, asturiana, spar_tea, nesquik
liquid_yogurt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
colacao, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
ato, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cafe, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
sugar, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
juice, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
nescafe, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
acor_sugar, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
pascual, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
gourmet_tea, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
asturiana, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
spar_tea, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
nesquik, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
